Players,PTS,REBS,ASSISTS,STEALS,BLOCKS,2 PTM,2 PTA,2 PT %,3 PTM,3 PTA,3 PT %,FGM,FGA,FG %,FTM,FTA,FT %,TO,Games,,
#24 Luka,111,44,18,14,4,27,57,47.4%,14,38,36.8%,41,95,43.2%,15,22,68.2%,15,8,,
#2 Josh,16,38,9,1,0,4,17,23.5%,2,12,16.7%,6,27,22.2%,2,2,100.0%,10,9,,
#12 Chris,54,27,11,17,0,8,21,38.1%,12,66,18.2%,20,87,23.0%,2,7,28.6%,15,9,,
#11 Dimitri,38,51,5,6,4,10,22,45.5%,6,27,22.2%,16,49,32.7%,0,3,0.0%,5,6,,
#4 Nick,24,4,7,5,1,1,1,100.0%,7,26,26.9%,8,27,29.6%,1,2,50.0%,13,6,,
#44 Winton,10,30,10,3,2,3,19,15.8%,0,4,0.0%,3,23,13.0%,4,15,26.7%,6,4,,
#52 Andrew,51,24,7,5,1,18,70,25.7%,3,10,30.0%,21,80,26.3%,6,12,50.0%,12,6,,
#21 Scott,25,30,6,4,0,7,24,29.2%,3,15,20.0%,10,39,25.6%,2,2,100.0%,11,7,,
#50 Matthew,13,18,11,7,0,5,19,26.3%,1,6,16.7%,6,25,24.0%,0,1,0.0%,16,7,,
Team Totals,342,266,84,62,12,83,250,33.2%,48,204,23.5%,131,452,29.0%,32,66,48.5%,103,8